lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_stage,last_contact_date,last_purchase_date,notes,lead_source,stage_clean,channel_clean,last_contact_date_clean,last_purchase_date_clean,is_genuine_lead,has_email,has_phone,has_owner_name,best_contact_method,contact_completeness
L1171,reworkeddrip77,depop,,@reworkeddrip77,62879.0,205.0,18%,,,,,,,,,,,200,Churned,01/05/2026,8 Jan,,Vinted scrape,churned,online_reseller,2026-05-01,2026-01-08,True,False,False,False,instagram_dm,1
L1009,Cedar Wardrobe,physical,Retro clothing shop,@cedarwardrobe,24909.0,,,cedarwardrobe.shop,info@cedarwardrobe.com,+44 7788208121,,153 Market St,London,"Shoreditch, London",UK,51.52821,-0.07836,405,stopped buying,2026-05-22,18 Aug,"Y2K, grunge and reworked one-off pieces | Instagram DMs open, email bounced.",BDR,churned,physical,2026-05-22,2026-08-18,True,True,True,False,email,3
L1064,Faded Trading Co,,Used clothing store,@fadedtradingco,7856.0,,,,info@fadedtradingco.com,+44 7728962309,,180 Market St,London,"Soho, London",UK,51.50638,-0.13542,2300,stopped buying,2026-03-31,2025-11-17,"Curated vintage womenswear, Levi's & band tees | Price-sensitive, compares to local wholesalers.",Instagram,churned,physical,2026-03-31,2025-11-17,True,True,True,False,email,3
L1154,grailfinds46,depop,,@grailfinds46,40551.0,207.0,23%,,,,,,,,,,,413,Churned,6 May,2025-11-24,"Fast seller, good margins",Vinted scrape,churned,online_reseller,2026-05-06,2025-11-24,True,False,False,False,instagram_dm,1
L1122,Kestrel Store,,Used clothing store,,,,,kestrelstore.co.uk,info@kestrelstore.com,+33 671709991,,121 Union St,New York,"Williamsburg, New York",USA,40.71501,-73.95118,435,lapsed,May 15 2026,2025-08-20,Reworked vintage and archive designer pieces | Busy on weekends — visit midweek.,Market visit,churned,physical,2026-05-15,2025-08-20,True,True,True,False,email,2
L1099,Nomad Vault,physical,Thrift store,@nomadvault,12585.0,,,,info@nomadvault.com,+44 7056481491,,128 Kingsland Rd,Glasgow,Glasgow,UK,55.86446,-4.26247,3456,negotiating,June 15 2026,,Reworked vintage and archive designer pieces,BDR,negotiating,physical,2026-06-15,,True,True,True,False,email,3
L1174,eraera65,IG,,@eraera65,59912.0,1265.0,39%,,,,,,,,,,,1727,Negotiating,1 Jul,,,Instagram,negotiating,online_reseller,2026-07-01,,True,False,False,False,instagram_dm,1
L1037,Static Racks,shop,Vintage boutique,@staticracks,8093.0,,,,info@staticracks.com,+44 7675869261,Ines Dubois,105 Mill Lane,London,"Peckham, London",UK,51.46279,-0.07211,1420,trial pending,2026/03/10,,"Curated vintage womenswear, Levi's & band tees | Keen but wants to see the app before committing.",Inbound,negotiating,physical,2026-10-03,,True,True,True,True,email,4
L1045,Faded Denim,physical,Vintage clothing store,,,,,fadeddenim.co.uk,info@fadeddenim.com,+44 7136968164,,87 Union St,London,"Dalston, London",UK,51.54199,-0.08296,902,trial pending,May 4 2026,,"Vintage streetwear — Nike, Adidas, Ralph",Google Maps scrape,negotiating,physical,2026-05-04,,True,True,True,False,email,2
L1001,Faded & Sons,,Consignment store,@fadedandsons,1269.0,,,fadedandsons.co.uk,info@fadedandsons.com,+44 7379402654,Sofia Klein,87 Market St,London,"Shoreditch, London",UK,51.51423,-0.08168,4064,quote sent,21/04/2026,,"Vintage workwear, military surplus, carhartt",Referral,negotiating,physical,2026-04-21,,True,True,True,True,email,4
L1030,Faded Loft,shop,Vintage & retro fashion,,,,,,info@fadedloft.com,+44 7748467737,Freya Rossi,99 Union St,London,"Camden, London",UK,51.54912,-0.1424,3558,sent pricing,2026-05-03,,"Vintage workwear, military surplus, carhartt",Google Maps scrape,negotiating,physical,2026-03-05,,True,True,True,True,email,3
L1018,Analog Loft,shop,Used clothing store,,,,,analogloft.com,info@analogloft.com,+44 7623166587,Chloe Okafor,53 Broadway,London,"Brick Lane, London",UK,51.51835,-0.06502,4029,meeting set,21/06/2026,,Retro football shirts & vintage sportswear,Google Maps scrape,negotiating,physical,2026-06-21,,True,True,True,True,email,3
L1152,stockfinds96,depop,,@stockfinds96,3282.0,209.0,9%,,,,,,,,,,,2079,Negotiating,25/06/2026,,"IG shop, DMs open",Depop scrape,negotiating,online_reseller,2026-06-25,,True,False,False,False,instagram_dm,1
L1121,Dusty Depot,physical,Vintage boutique,@dustydepot,14115.0,,,,info@dustydepot.com,+33 699353875,,130 Mill Lane,New York,"Williamsburg, New York",USA,40.72329,-73.95182,5106,meeting set,11 May,,80s/90s denim & sportswear specialist,BDR,negotiating,physical,2026-05-11,,True,True,True,False,email,3
L1010,Second Racks,,Vintage clothing store,@secondracks,13369.0,,,,info@secondracks.com,,Ben Bennett,3 Kingsland Rd,London,"Shoreditch, London",UK,51.52691,-0.07049,5875,demo booked,June 15 2026,,"Hand-picked vintage from the 60s to the 90s | Met at a market, said to drop by the shop.",BDR,negotiating,physical,2026-06-15,,True,True,False,True,email,3
L1095,Moth Vault,,Vintage boutique,@mothvault,19853.0,,,mothvault.com,info@mothvault.com,+44 7051627136,Tom Shah,27 The Parade,Leeds,Leeds,UK,53.79652,-1.55402,1265,negotiating,2026/06/03,,"80s/90s denim & sportswear specialist | Tried us in 2023, wasn't happy with the sizing mix.",Instagram,negotiating,physical,2026-03-06,,True,True,True,True,email,4
L1103,Pinegrove Store,,Retro clothing shop,@pinegrovestore,24496.0,,,,info@pinegrovestore.com,+33 643132912,Priya Nowak,116 Kingsland Rd,Paris,"Le Marais, Paris",France,48.85454,2.3509,2579,visit booked,May 21 2026,,"Curated vintage womenswear, Levi's & band tees | Keen but wants to see the app before committing.",Market visit,negotiating,physical,2026-05-21,,True,True,True,True,email,4
L1126,Retrograde Racks,physical,Second-hand shop,@retrograderacks,23398.0,,,retrograderacks.co.uk,info@retrograderack.com,+33 661849926,Priya Ali,159 Market St,Los Angeles,"Melrose, Los Angeles",USA,34.07858,-118.35417,7414,Visit booked,12/06/2026,,"Curated vintage womenswear, Levi's & band tees | Instagram DMs open, email bounced.",BDR,negotiating,physical,2026-06-12,,True,True,True,True,email,4
L1111,Velvet Exchange,physical,Vintage boutique,@velvetexchange,3940.0,,,velvetexchange.co.uk,info@velvetexchange.com,+33 676267658,Oscar Shah,123 Union St,Berlin,"Kreuzberg, Berlin",Germany,52.4909,13.39277,3572,sent pricing,2026-03-31,,"Curated vintage womenswear, Levi's & band tees",Inbound,negotiating,physical,2026-03-31,,True,True,True,True,email,4
L1195,Analog Room,,Vintage & retro fashion,,,,,analogroom.shop,,+44 7345401938,Jack Okafor,45 Broadway,Brighton,"North Laine, Brighton",UK,50.83517,-0.14778,2281,Visit booked,28 May,,"Vintage workwear, military surplus, carhartt",Market visit,negotiating,physical,2026-05-28,,True,False,True,True,phone,2
L1160,theco92,depop,,@theco92,9601.0,709.0,35%,,,,,,,,,,,1990,trial pending,3 May,,"IG shop, DMs open",Whatnot,negotiating,online_reseller,2026-05-03,,True,False,False,False,instagram_dm,1
L1003,Analog Emporium,physical,Retro clothing shop,@analogemporium,10736.0,,,analogemporium.com,info@analogemporium.com,,,146 The Parade,London,"Shoreditch, London",UK,51.5171,-0.07202,2933,negotiating,May 11 2026,,Hand-picked vintage from the 60s to the 90s,Instagram,negotiating,physical,2026-05-11,,True,True,False,False,email,2
L1206,Velvet Corner,shop,Thrift store,@velvetcorner,1643.0,,,velvetcorner.shop,,,,57 High St,Paris,"Le Marais, Paris",France,48.85963,2.34802,3721,negotiating,2026/06/06,,Reworked vintage and archive designer pieces,BDR,negotiating,physical,2026-06-06,,True,False,False,False,instagram_dm,1
L1041,Sunday Collective,physical,Flea market,,,,,sundaycollective.com,info@sundaycollecti.com,+44 7615280988,Ben Ferreira,32 Broadway,London,"Peckham, London",UK,51.47049,-0.06503,1256,sent pricing,2026-06-23,,Fancy dress & theatrical costume hire,Instagram,negotiating,physical,2026-06-23,,True,True,True,True,email,3
L1205,Foundry Room,store,Consignment store,@foundryroom,15912.0,,,foundryroom.com,,+44 7345054156,Oscar Novak,99 The Parade,London,"Notting Hill, London",UK,51.52037,-0.19609,990,visiting,03/06/2026,,"Vintage workwear, military surplus, carhartt | Met at a market, said to drop by the shop.",Inbound,negotiating,physical,2026-06-03,,True,False,True,True,phone,3
L1033,Static Loft,shop,Retro clothing shop,@staticloft,28992.0,,,staticloft.shop,,+44 7400504556,Sofia Diallo,136 Broadway,London,"Camden, London",UK,51.54058,-0.13558,2145,sent pricing,19 Jun,,"80s/90s denim & sportswear specialist | Heard of Fleek, thinks it's 'for small resellers'.",Referral,negotiating,physical,2026-06-19,,True,False,True,True,phone,3
L1017,Loop Studio,,Retro clothing shop,@loopstudio,18665.0,,,,,+44 7278895798,,110 Cheshire St,London,"Brick Lane, London",UK,51.5197,-0.07968,2489,Negotiating,2026-05-31,,Retro football shirts & vintage sportswear,Market visit,negotiating,physical,2026-05-31,,True,False,True,False,phone,2
L1027,Heirloom Goods,,Thrift store,@heirloomgoods,19051.0,,,heirloomgoods.com,,+44 7746488771,Mila Okafor,111 The Parade,London,"Camden, London",UK,51.54149,-0.15398,1107,meeting set,March 6 2026,,"Vintage workwear, military surplus, carhartt | ",Referral,negotiating,physical,2026-03-06,,True,False,True,True,phone,3
L1046,Loop Apparel,,Used clothing store,@loopapparel,21879.0,,,loopapparel.co.uk,info@loopapparel.com,+44 7997995527,Tom Meyer,114 Mill Lane,London,"Dalston, London",UK,51.55311,-0.07281,1787,negotiating,22/06/2026,,"Vintage streetwear — Nike, Adidas, Ralph | Heard of Fleek, thinks it's 'for small resellers'.",Inbound,negotiating,physical,2026-06-22,,True,True,True,True,email,4
L1158,studiofinds26,depop,,@studiofinds26,9202.0,1372.0,20%,,,,,,,,,,,200,trial pending,June 19 2026,,,Depop scrape,negotiating,online_reseller,2026-06-19,,True,False,False,False,instagram_dm,1
L1102,Bygone Threads,shop,Vintage boutique,@bygonethreads,3806.0,,,,,+33 667024103,,134 Broadway,Paris,"Le Marais, Paris",France,48.86382,2.35694,5257,Visit booked,2026/06/05,,"Vintage streetwear — Nike, Adidas, Ralph",Google Maps scrape,negotiating,physical,2026-05-06,,True,False,True,False,phone,2
L1155,reworkedco18,IG,,@reworkedco18,20333.0,1356.0,28%,,,,,,,,,,,1529,quote sent,21/04/2026,,Sells on Depop + Vinted,Depop scrape,negotiating,online_reseller,2026-04-21,,True,False,False,False,instagram_dm,1
L1202,WILDER GOODS,,Used clothing store,,,,,wildergoods.com,info@wildergoods.com,,Ellie Rossi,167 Mill Lane,Leeds,Leeds,UK,53.79152,-1.53881,1242,sent pricing,2026/05/08,,80s/90s denim & sportswear specialist | ,Inbound,negotiating,physical,2026-08-05,,True,True,False,True,email,2
L1070,Pinegrove Studio,,Used clothing store,@pinegrovestudio,20248.0,,,pinegrovestudio.co.uk,info@pinegrovestudi.com,+44 7833918785,,20 Market St,Brighton,"North Laine, Brighton",UK,50.81548,-0.13886,5236,meeting set,15 May,,"Curated vintage womenswear, Levi's & band tees",Referral,negotiating,physical,2026-05-15,,True,True,True,False,email,3
L1149,sourcedco83,reseller,,@sourcedco83,45531.0,687.0,29%,,,,,,,,,,,3272,responded,May 13 2026,,,Whatnot,replied,online_reseller,2026-05-13,,True,False,False,False,instagram_dm,1
L1147,eraroom41,,,@eraroom41,11244.0,881.0,39%,,,,,,,,,,,1015,replied,03/06/2026,,,Whatnot,replied,online_reseller,2026-06-03,,True,False,False,False,instagram_dm,1
L1127,Marlowe Vintage,,Consignment store,@marlowevintage,4018.0,,,marlowevintage.com,info@marlowevintage.com,+33 618114374,Yusuf Novak,13 Market St,Los Angeles,"Melrose, Los Angeles",USA,34.09132,-118.35202,3472,replied,2026/03/17,,Hand-picked vintage from the 60s to the 90s,Inbound,replied,physical,2026-03-17,,True,True,True,True,email,4
L1087,Mercer Archive,store,Second-hand shop,@mercerarchive,23024.0,,,mercerarchive.com,info@mercerarchive.com,+44 7714611254,Ben Novak,53 Cheshire St,Bristol,"Stokes Croft, Bristol",UK,51.46459,-2.59057,2126,responded,28/04/2026,,"Curated vintage womenswear, Levi's & band tees | ",Market visit,replied,physical,2026-04-28,,True,True,True,True,email,4
L1091,Wilder Supply,store,Thrift store,@wildersupply,14331.0,,,wildersupply.com,info@wildersupply.com,+44 7745171339,,177 The Parade,Bristol,"Stokes Croft, Bristol",UK,51.47367,-2.58735,1306,In conversation,18/06/2026,,"Curated vintage womenswear, Levi's & band tees | Instagram DMs open, email bounced.",BDR,replied,physical,2026-06-18,,True,True,True,False,email,3
L1175,retrothreads90,,,@retrothreads90,52544.0,810.0,27%,,,,,,,,,,,200,replied,2026-04-19,,"Fast seller, good margins",Vinted scrape,replied,online_reseller,2026-04-19,,True,False,False,False,instagram_dm,1
L1116,Attic Supply,,Used clothing store,@atticsupply,5256.0,,,atticsupply.com,,+33 619148564,,99 Kingsland Rd,Amsterdam,Amsterdam,Netherlands,52.36933,4.90345,4547,Replied,2026/04/20,,"Y2K, grunge and reworked one-off pieces | Price-sensitive, compares to local wholesalers.",BDR,replied,physical,2026-04-20,,True,False,True,False,phone,2
L1007,Marlowe Denim,physical,Vintage clothing store,@marlowedenim,1429.0,,,marlowedenim.shop,info@marlowedenim.com,+44 7347382997,,63 Kingsland Rd,London,"Shoreditch, London",UK,51.53138,-0.07943,3801,replied,March 13 2026,,"Vintage workwear, military surplus, carhartt | Price-sensitive, compares to local wholesalers.",Inbound,replied,physical,2026-03-13,,True,True,True,False,email,3
L1075,Bygone Garments,shop,Vintage boutique,@bygonegarments,14048.0,,,,info@bygonegarments.com,+44 7634351751,,138 Union St,Brighton,"North Laine, Brighton",UK,50.81524,-0.14295,806,replied,2026/04/21,,"Y2K, grunge and reworked one-off pieces",Google Maps scrape,replied,physical,2026-04-21,,True,True,True,False,email,3
L1185,retrosupply29,,,@retrosupply29,38477.0,39.0,21%,,,,,,,,,,,1885,replied,2026-04-21,,,Whatnot,replied,online_reseller,2026-04-21,,True,False,False,False,instagram_dm,1
L1117,Attic Room,shop,Consignment store,@atticroom,16509.0,,,atticroom.com,,+33 647546913,,114 Union St,Amsterdam,Amsterdam,Netherlands,52.37752,4.90187,2547,In conversation,2026-03-14,,"Vintage streetwear — Nike, Adidas, Ralph | Met at a market, said to drop by the shop.",Inbound,replied,physical,2026-03-14,,True,False,True,False,phone,2
L1071,Worn Exchange,,Vintage & retro fashion,@wornexchange,18878.0,,,wornexchange.shop,,+44 7406403910,Chloe Haddad,180 Market St,Brighton,"North Laine, Brighton",UK,50.82699,-0.15055,3357,Replied,2026/06/24,,Retro football shirts & vintage sportswear,Market visit,replied,physical,2026-06-24,,True,False,True,True,phone,3
L1137,reworkedvault89,,,@reworkedvault89,40525.0,689.0,37%,,reworkedvault89@gmail.com,,,,,,,,,2088,replied,15/04/2026,,"IG shop, DMs open",Instagram,replied,online_reseller,2026-04-15,,True,True,False,False,instagram_dm,2
L1015,Loop Wardrobe,,Vintage clothing store,@loopwardrobe,28187.0,,,loopwardrobe.co.uk,info@loopwardrobe.com,+44 7656482366,,174 Church Rd,London,"Brick Lane, London",UK,51.52377,-0.07628,7824,replied,June 16 2026,,Hand-picked vintage from the 60s to the 90s,Google Maps scrape,replied,physical,2026-06-16,,True,True,True,False,email,3
L1136,eraarchive59,,,@eraarchive59,1084.0,1116.0,52%,,eraarchive59@gmail.com,,,,,,,,,1122,responded,2026/06/25,,"Fast seller, good margins",Instagram,replied,online_reseller,2026-06-25,,True,True,False,False,instagram_dm,2
L1167,stockdrip47,,,@stockdrip47,64545.0,486.0,38%,,,,,,,,,,,200,Replied,18 May,,"Fast seller, good margins",Depop scrape,replied,online_reseller,2026-05-18,,True,False,False,False,instagram_dm,1
L1062,Velvet Room,store,Vintage clothing store,@velvetroom,12385.0,,,velvetroom.com,info@velvetroom.com,+44 7609835841,Oscar Ali,116 Cheshire St,London,"Soho, London",UK,51.50851,-0.12226,879,in convo,26 Mar,,"Y2K, grunge and reworked one-off pieces",Google Maps scrape,replied,physical,2026-03-26,,True,True,True,True,email,4
L1044,Relic Vault,store,Vintage & retro fashion,@relicvault,7321.0,,,relicvault.co.uk,info@relicvault.com,+44 7510762268,,59 Cheshire St,London,"Peckham, London",UK,51.47541,-0.06497,4040,In conversation,25/03/2026,,"Retro football shirts & vintage sportswear | Price-sensitive, compares to local wholesalers.",Instagram,replied,physical,2026-03-25,,True,True,True,False,email,3
L1199,Ragged Goods,store,Used clothing store,@raggedgoods,11003.0,,,raggedgoods.co.uk,info@raggedgoods.com,+44 7374549904,,168 The Parade,Brighton,"North Laine, Brighton",UK,50.83063,-0.15051,3932,Replied,29/06/2026,,"Vintage workwear, military surplus, carhartt | Busy on weekends — visit midweek.",BDR,replied,physical,2026-06-29,,True,True,True,False,email,3
L1060,Bygone Racks,physical,Thrift store,@bygoneracks,10146.0,,,,info@bygoneracks.com,,,41 Kingsland Rd,London,"Soho, London",UK,51.51177,-0.13485,2389,responded,2026-05-04,,"80s/90s denim & sportswear specialist | Tried us in 2023, wasn't happy with the sizing mix.",Inbound,replied,physical,2026-04-05,,True,True,False,False,email,2
L1113,Heirloom Vault,physical,Consignment store,@heirloomvault,20067.0,,,heirloomvault.com,info@heirloomvault.com,+33 632417146,Ines Meyer,170 Mill Lane,Berlin,"Kreuzberg, Berlin",Germany,52.48919,13.40406,2637,in convo,01/05/2026,,"Y2K, grunge and reworked one-off pieces | Price-sensitive, compares to local wholesalers.",Inbound,replied,physical,2026-05-01,,True,True,True,True,email,4
L1016,Echo Garments,,Vintage & retro fashion,@echogarments,21989.0,,,,info@echogarments.com,+44 7951343320,,12 Union St,London,"Brick Lane, London",UK,51.53261,-0.06883,3427,in convo,June 21 2026,,"Vintage streetwear — Nike, Adidas, Ralph",Market visit,replied,physical,2026-06-21,,True,True,True,False,email,3
L1169,deadroom16,reseller,,@deadroom16,32356.0,1010.0,35%,,,,,,,,,,,1530,in convo,2026-05-10,,"Whatnot seller, live sales",Depop scrape,replied,online_reseller,2026-10-05,,True,False,False,False,instagram_dm,1
L1142,retroarchive14,,,@retroarchive14,26286.0,516.0,37%,,,,,,,,,,,806,responded,2026-05-26,,"Fast seller, good margins",Instagram,replied,online_reseller,2026-05-26,,True,False,False,False,instagram_dm,1
L1066,Wilder Exchange,store,Retro clothing shop,@wilderexchange,11709.0,,,,info@wilderexchange.com,+44 7041574733,,138 Mill Lane,Brighton,"North Laine, Brighton",UK,50.83639,-0.13529,845,In conversation,25/03/2026,,"Vintage streetwear — Nike, Adidas, Ralph | Instagram DMs open, email bounced.",Instagram,replied,physical,2026-03-25,,True,True,True,False,email,3
L1153,deadco34,,,@deadco34,21535.0,64.0,29%,,,,,,,,,,,883,1st touch sent,2026/04/10,,Sells on Depop + Vinted,Depop scrape,contacted,online_reseller,2026-10-04,,True,False,False,False,instagram_dm,1
L1085,Golden Era Closet,store,Used clothing store,@goldeneracloset,12722.0,,,goldeneracloset.com,info@goldeneraclose.com,+44 7939828073,,113 Mill Lane,Bristol,"Stokes Croft, Bristol",UK,51.47295,-2.60034,1419,CONTACTED,27 May,,"Vintage workwear, military surplus, carhartt",Market visit,contacted,physical,2026-05-27,,True,True,True,False,email,3
L1182,deadthreads93,,,@deadthreads93,19574.0,1253.0,8%,,,,,,,,,,,1769,1st touch sent,9 Jun,,"Fast seller, good margins",Depop scrape,contacted,online_reseller,2026-06-09,,True,False,False,False,instagram_dm,1
L1114,Second Wardrobe,,Retro clothing shop,@secondwardrobe,26882.0,,,secondwardrobe.com,info@secondwardrobe.com,+33 680686879,,61 Kingsland Rd,Berlin,"Kreuzberg, Berlin",Germany,52.49417,13.40048,3077,CONTACTED,23 Apr,,Retro football shirts & vintage sportswear,Google Maps scrape,contacted,physical,2026-04-23,,True,True,True,False,email,3
L1021,Golden Era Finds,physical,Vintage clothing store,,,,,,info@goldenerafinds.com,+44 7496631931,Ellie Lopez,176 Market St,London,"Brick Lane, London",UK,51.52811,-0.06992,1915,emailed,2026/06/18,,"Vintage workwear, military surplus, carhartt | Met at a market, said to drop by the shop.",Market visit,contacted,physical,2026-06-18,,True,True,True,True,email,3
L1166,thriftedthreads84,depop,,@thriftedthreads84,55514.0,569.0,42%,,,,,,,,,,,1594,emailed,2026/04/23,,"Whatnot seller, live sales",Instagram,contacted,online_reseller,2026-04-23,,True,False,False,False,instagram_dm,1
L1029,Attic Apparel,store,Thrift store,@atticapparel,2176.0,,,,,,Mila Meyer,161 Kingsland Rd,London,"Camden, London",UK,51.54524,-0.14971,1618,1st touch sent,2026/06/07,,80s/90s denim & sportswear specialist,Inbound,contacted,physical,2026-07-06,,True,False,False,True,instagram_dm,2
L1125,Marlowe Exchange,,Consignment store,@marloweexchange,4699.0,,,marloweexchange.shop,info@marloweexchang.com,,,44 Market St,New York,"Williamsburg, New York",USA,40.7118,-73.95639,1193,contacted,2026-06-04,,Reworked vintage and archive designer pieces | ,Inbound,contacted,physical,2026-04-06,,True,True,False,False,email,2
L1031,Bygone Exchange,,Vintage & retro fashion,@bygoneexchange,11293.0,,,bygoneexchange.co.uk,info@bygoneexchange.com,+44 7533963605,,122 Broadway,London,"Camden, London",UK,51.53627,-0.13867,3749,emailed,2026/04/22,,"Y2K, grunge and reworked one-off pieces",BDR,contacted,physical,2026-04-22,,True,True,True,False,email,3
L1129,Kestrel Goods,,Vintage & retro fashion,@kestrelgoods,16394.0,,,,,,,12 Market St,Los Angeles,"Melrose, Los Angeles",USA,34.07808,-118.36546,4499,Contacted,17 Jun,,Retro football shirts & vintage sportswear,Instagram,contacted,physical,2026-06-17,,True,False,False,False,instagram_dm,1
