place_name,maps_category,full_address,rating,review_count,price_level,cluster_bonus,top_review,visit_priority_score,why,lat,lng
Nomad Racks,Vintage clothing store,"88 Newton St, Manchester",4.5,435,££,0.8999999999999999,"Great reworked pieces and archive designer, always something new in",9.657733885431957,"rating 4.5, 435 reviews, price ££, 3 genuine shops within 500m, no website, no phone: ""Great reworked pieces and archive designer, always something new in""",53.48451,-2.23723
Nomad Archive,Vintage clothing store,"104 Stevenson Sq, Manchester",4.2,523,,0.8999999999999999,"Great reworked pieces and archive designer, always something new in",9.527752533300912,"rating 4.2, 523 reviews, price nan, 3 genuine shops within 500m, no website, has phone: ""Great reworked pieces and archive designer, always something new in""",53.47024,-2.21719
Heirloom Threads,Thrift store,"29 High St, Manchester",4.5,500,££,0.6,"Three floors of curated vintage — massive shop, staff really know their stuff",9.448455006504028,"rating 4.5, 500 reviews, price ££, 2 genuine shops within 500m, no website, no phone: ""Three floors of curated vintage — massive shop, staff really know their stuff""",53.49631,-2.24555
Rewind Vault,Vintage store,"153 Hilton St, Manchester",4.3,777,££,0.3,"Amazing selection of 90s Levi's and band tees, could spend hours here",9.435631528201371,"rating 4.3, 777 reviews, price ££, 1 genuine shops within 500m, no website, has phone: ""Amazing selection of 90s Levi's and band tees, could spend hours here""",53.4727,-2.25044
Mercer Racks,Used clothing store,"117 Newton St, Manchester",4.3,595,,0.6,"Tucked away but worth it, one-off Y2K and grunge pieces, big turnover of stock",9.411775448592824,"rating 4.3, 595 reviews, price nan, 2 genuine shops within 500m, no website, has phone: ""Tucked away but worth it, one-off Y2K and grunge pieces, big turnover of stock""",53.47821,-2.24857
Echo Goods,Thrift store,"21 Church St, Manchester",3.9,637,£££,0.3,"Amazing selection of 90s Levi's and band tees, could spend hours here",9.406209148503025,"rating 3.9, 637 reviews, price £££, 1 genuine shops within 500m, has website, has phone: ""Amazing selection of 90s Levi's and band tees, could spend hours here""",53.49952,-2.25156
Relic Garments,Thrift store,"122 High St, Manchester",3.7,712,£,0.8999999999999999,"Amazing selection of 90s Levi's and band tees, could spend hours here",9.378719990455286,"rating 3.7, 712 reviews, price £, 3 genuine shops within 500m, has website, has phone: ""Amazing selection of 90s Levi's and band tees, could spend hours here""",53.48202,-2.24643
Heirloom Closet,Boutique,"170 Tib St, Manchester",4.6,267,££,0.6,"Three floors of curated vintage — massive shop, staff really know their stuff",9.339766892046862,"rating 4.6, 267 reviews, price ££, 2 genuine shops within 500m, no website, has phone: ""Three floors of curated vintage — massive shop, staff really know their stuff""",53.49169,-2.2293
Bygone Store,Clothing store,"172 High St, Manchester",4.4,143,£££,0.8999999999999999,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",9.333004056197593,"rating 4.4, 143 reviews, price £££, 3 genuine shops within 500m, has website, no phone: ""Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies""",53.46976,-2.2206
Velvet Collective,Thrift store,"73 Dale St, Manchester",4.7,226,£,0.8999999999999999,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",9.3311626587211,"rating 4.7, 226 reviews, price £, 3 genuine shops within 500m, no website, has phone: ""Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies""",53.46628,-2.23223
Revival Denim,Vintage clothing store,"126 Thomas St, Manchester",4.0,632,,0.8999999999999999,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",9.251075617423577,"rating 4.0, 632 reviews, price nan, 3 genuine shops within 500m, no website, no phone: ""Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies""",53.46834,-2.23437
Worn Room,Thrift store,"153 Dale St, Manchester",4.4,302,££,0.3,"Amazing selection of 90s Levi's and band tees, could spend hours here",9.220010414435727,"rating 4.4, 302 reviews, price ££, 1 genuine shops within 500m, has website, has phone: ""Amazing selection of 90s Levi's and band tees, could spend hours here""",53.48713,-2.23309
Patina Exchange,Clothing store,"69 Tib St, Manchester",3.7,349,££,0.8999999999999999,"Three floors of curated vintage — massive shop, staff really know their stuff",9.21423814043877,"rating 3.7, 349 reviews, price ££, 3 genuine shops within 500m, has website, has phone: ""Three floors of curated vintage — massive shop, staff really know their stuff""",53.49337,-2.23245
Pinegrove Room,Boutique,"136 Hilton St, Manchester",3.4,753,£,1.2,"Retro football shirts and sportswear heaven, they get huge deliveries weekly",9.115192464301051,"rating 3.4, 753 reviews, price £, 4 genuine shops within 500m, no website, has phone: ""Retro football shirts and sportswear heaven, they get huge deliveries weekly""",53.47362,-2.23366
Moth Goods,Thrift store,"178 Tib St, Manchester",4.8,82,££,0.6,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",9.070720778575575,"rating 4.8, 82 reviews, price ££, 2 genuine shops within 500m, has website, has phone: ""Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies""",53.47963,-2.24885
Retrograde Emporium,Boutique,"103 Stevenson Sq, Manchester",3.8,547,££,0.3,"Retro football shirts and sportswear heaven, they get huge deliveries weekly",9.006980989500146,"rating 3.8, 547 reviews, price ££, 1 genuine shops within 500m, has website, has phone: ""Retro football shirts and sportswear heaven, they get huge deliveries weekly""",53.49134,-2.2404
Golden Era Goods,Vintage clothing store,"175 Broadway, Manchester, Manchester",3.9,206,££,1.2,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",8.87080083055373,"rating 3.9, 206 reviews, price ££, 4 genuine shops within 500m, no website, no phone: ""Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies""",53.47406,-2.23315
Velvet Closet,Used clothing store,"59 Broadway, Manchester, Manchester",3.7,322,££,0.6,"Great reworked pieces and archive designer, always something new in",8.861783807543747,"rating 3.7, 322 reviews, price ££, 2 genuine shops within 500m, has website, has phone: ""Great reworked pieces and archive designer, always something new in""",53.48567,-2.2421
Loop Vintage,Thrift store,"82 Dale St, Manchester",4.3,526,,0.3,"Retro football shirts and sportswear heaven, they get huge deliveries weekly",8.83147861623061,"rating 4.3, 526 reviews, price nan, 1 genuine shops within 500m, no website, no phone: ""Retro football shirts and sportswear heaven, they get huge deliveries weekly""",53.50361,-2.23269
Retrograde Wardrobe,Used clothing store,"29 Stevenson Sq, Manchester",3.6,817,,0.3,"Three floors of curated vintage — massive shop, staff really know their stuff",8.718333084798624,"rating 3.6, 817 reviews, price nan, 1 genuine shops within 500m, has website, no phone: ""Three floors of curated vintage — massive shop, staff really know their stuff""",53.47279,-2.24419
Rewind Archive,Boutique,"153 Thomas St, Manchester",4.4,336,££,0.0,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",8.689508916084765,"rating 4.4, 336 reviews, price ££, 0 genuine shops within 500m, no website, has phone: ""Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies""",53.49646,-2.21671
Ragged Rail,Vintage store,"118 Dale St, Manchester",3.8,403,,0.6,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",8.657957569211664,"rating 3.8, 403 reviews, price nan, 2 genuine shops within 500m, no website, has phone: ""Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies""",53.5027,-2.22957
Ragged Racks,Vintage store,"117 Oldham St, Manchester",3.6,244,£,0.6,"Tucked away but worth it, one-off Y2K and grunge pieces, big turnover of stock",8.281084739508094,"rating 3.6, 244 reviews, price £, 2 genuine shops within 500m, has website, has phone: ""Tucked away but worth it, one-off Y2K and grunge pieces, big turnover of stock""",53.49542,-2.2366
Nomad Corner,Used clothing store,"79 High St, Manchester",3.5,365,£,0.3,"Proper vintage streetwear — Nike, Adidas, Ralph everywhere. Owner is lovely",8.143439296684713,"rating 3.5, 365 reviews, price £, 1 genuine shops within 500m, has website, has phone: ""Proper vintage streetwear — Nike, Adidas, Ralph everywhere. Owner is lovely""",53.50283,-2.22521
